price_date,ticker,last_price
07/12/2016,VIX Index,12.22
06/12/2016,VIX Index,11.79
05/12/2016,VIX Index,12.14
02/12/2016,VIX Index,14.12
01/12/2016,VIX Index,14.07
30/11/2016,VIX Index,13.33
29/11/2016,VIX Index,12.9
28/11/2016,VIX Index,13.15
25/11/2016,VIX Index,12.34
24/11/2016,VIX Index,12.385
23/11/2016,VIX Index,12.43
22/11/2016,VIX Index,12.41
21/11/2016,VIX Index,12.42
18/11/2016,VIX Index,12.85
17/11/2016,VIX Index,13.35
16/11/2016,VIX Index,13.72
15/11/2016,VIX Index,13.37
14/11/2016,VIX Index,14.48
11/11/2016,VIX Index,14.17
10/11/2016,VIX Index,14.74
09/11/2016,VIX Index,14.38
08/11/2016,VIX Index,18.74
07/11/2016,VIX Index,18.71
04/11/2016,VIX Index,22.51
03/11/2016,VIX Index,22.08
02/11/2016,VIX Index,19.32
01/11/2016,VIX Index,18.56
31/10/2016,VIX Index,17.06
28/10/2016,VIX Index,16.19
27/10/2016,VIX Index,15.36
26/10/2016,VIX Index,14.24
25/10/2016,VIX Index,13.46
24/10/2016,VIX Index,13.02
21/10/2016,VIX Index,13.34
20/10/2016,VIX Index,13.75
19/10/2016,VIX Index,14.41
18/10/2016,VIX Index,15.28
17/10/2016,VIX Index,16.21
14/10/2016,VIX Index,16.12
13/10/2016,VIX Index,16.69
12/10/2016,VIX Index,15.91
11/10/2016,VIX Index,15.36
10/10/2016,VIX Index,13.38
07/10/2016,VIX Index,13.48
06/10/2016,VIX Index,12.84
05/10/2016,VIX Index,12.99
04/10/2016,VIX Index,13.63
03/10/2016,VIX Index,13.57
30/09/2016,VIX Index,13.29
29/09/2016,VIX Index,14.02
28/09/2016,VIX Index,12.39
27/09/2016,VIX Index,13.1
26/09/2016,VIX Index,14.5
23/09/2016,VIX Index,12.29
22/09/2016,VIX Index,12.02
21/09/2016,VIX Index,13.3
20/09/2016,VIX Index,15.92
19/09/2016,VIX Index,15.53
16/09/2016,VIX Index,15.37
15/09/2016,VIX Index,16.3
14/09/2016,VIX Index,18.14
13/09/2016,VIX Index,17.85
12/09/2016,VIX Index,15.16
09/09/2016,VIX Index,17.5
08/09/2016,VIX Index,12.51
07/09/2016,VIX Index,11.94
06/09/2016,VIX Index,12.02
05/09/2016,VIX Index,12
02/09/2016,VIX Index,11.98
01/09/2016,VIX Index,13.48
